mag_low, mag_high, arc_down, arc_up, eff
16.12667, 15.75, 2.51189, 3.41455, 0.0
16.12667, 15.75, 3.41455, 4.64159, Nan 
16.12667, 15.75, 4.64159, 6.30957, Nan 
16.12667, 15.75, 6.30957, 8.57696, Nan 
16.12667, 15.75, 8.57696, 11.65914, Nan 
16.12667, 15.75, 11.65914, 15.84893, 16.30208
16.12667, 15.75, 15.84893, 21.54435, 24.53125
16.12667, 15.75, 21.54435, 29.28645, Nan 
16.12667, 15.75, 29.28645, 39.81072, 97.91667
16.12667, 15.75, 39.81072, 54.11695, 33.05556
16.12667, 15.75, 54.11695, 73.56423, Nan 
16.12667, 15.75, 73.56423, 100.0, Nan 
16.50333, 16.12667, 2.51189, 3.41455, Nan 
16.50333, 16.12667, 3.41455, 4.64159, 0.0
16.50333, 16.12667, 4.64159, 6.30957, Nan 
16.50333, 16.12667, 6.30957, 8.57696, 0.0
16.50333, 16.12667, 8.57696, 11.65914, 0.0
16.50333, 16.12667, 11.65914, 15.84893, 0.0
16.50333, 16.12667, 15.84893, 21.54435, 48.59375
16.50333, 16.12667, 21.54435, 29.28645, 74.0625
16.50333, 16.12667, 29.28645, 39.81072, 73.90625
16.50333, 16.12667, 39.81072, 54.11695, 64.86111
16.50333, 16.12667, 54.11695, 73.56423, 66.66667
16.50333, 16.12667, 73.56423, 100.0, 19.41667
16.88, 16.50333, 2.51189, 3.41455, 0.0
16.88, 16.50333, 3.41455, 4.64159, 0.0
16.88, 16.50333, 4.64159, 6.30957, Nan 
16.88, 16.50333, 6.30957, 8.57696, 0.0
16.88, 16.50333, 8.57696, 11.65914, 0.0
16.88, 16.50333, 11.65914, 15.84893, 55.2381
16.88, 16.50333, 15.84893, 21.54435, 98.02083
16.88, 16.50333, 21.54435, 29.28645, 78.125
16.88, 16.50333, 29.28645, 39.81072, 99.16667
16.88, 16.50333, 39.81072, 54.11695, 79.16667
16.88, 16.50333, 54.11695, 73.56423, 49.375
16.88, 16.50333, 73.56423, 100.0, 0.0
17.25667, 16.88, 2.51189, 3.41455, 0.0
17.25667, 16.88, 3.41455, 4.64159, 0.0
17.25667, 16.88, 4.64159, 6.30957, Nan 
17.25667, 16.88, 6.30957, 8.57696, 0.0
17.25667, 16.88, 8.57696, 11.65914, 41.71875
17.25667, 16.88, 11.65914, 15.84893, 96.66667
17.25667, 16.88, 15.84893, 21.54435, 72.34375
17.25667, 16.88, 21.54435, 29.28645, 97.65625
17.25667, 16.88, 29.28645, 39.81072, 98.95833
17.25667, 16.88, 39.81072, 54.11695, 58.125
17.25667, 16.88, 54.11695, 73.56423, 49.375
17.25667, 16.88, 73.56423, 100.0, 0.0
17.63333, 17.25667, 2.51189, 3.41455, 0.0
17.63333, 17.25667, 3.41455, 4.64159, 0.0
17.63333, 17.25667, 4.64159, 6.30957, 0.0
17.63333, 17.25667, 6.30957, 8.57696, 0.0
17.63333, 17.25667, 8.57696, 11.65914, 32.70833
17.63333, 17.25667, 11.65914, 15.84893, 73.67188
17.63333, 17.25667, 15.84893, 21.54435, 65.625
17.63333, 17.25667, 21.54435, 29.28645, 97.65625
17.63333, 17.25667, 29.28645, 39.81072, 97.91667
17.63333, 17.25667, 39.81072, 54.11695, 24.375
17.63333, 17.25667, 54.11695, 73.56423, 13.97321
